XYDATA,PA,PLC,PC,PE,PET,PP,PS,PVC,Type A  BoxCD02 (PE),Type B  BoxAB10 (PE),Type C  BoxBC07 (PE),Type D BoxBA09 (PE),Type Z Box A B01 (un),Type B Box A B08 (PP),Type B Box A D04 (PP),Type A Box A D08 (PP),Type C Box B G06 (PS),"(1,1)"
2115.4197,1780.21,508.425,539.866,500.382,849.448,503.483,593.221,527.648,604.352,1059.94,518.794,530.957,815.29,2814.79,821.446,851.759,618.334,1.987754553
2116.4197,1782.49,508.57,540.881,500.336,848.472,503.466,593.012,527.993,604.478,1061.48,517.981,531.712,814.958,2816.65,822.607,852.087,619.154,1.460719375
2117.4197,1782.59,508.604,541.128,500.618,847.957,503.952,593.482,528.345,604.065,1061.97,517.763,531.771,814.359,2819.18,822.547,852.307,620.033,2.31121884
2118.4197,1780.3,508.375,540.36,501.066,848.347,504.754,594.571,528.581,603.432,1060.82,518.17,531.085,813.631,2821.18,821.011,852.228,619.622,1.21549456
2119.4197,1779.91,508.079,539.586,501.147,848.969,505.079,595.303,528.63,603.2,1060.51,518.629,530.689,813.195,2821.81,819.935,851.675,618.134,2.614719239
2120.4197,1784.76,507.897,539.677,500.474,849.211,504.369,594.892,528.461,603.653,1062.71,518.731,531.285,813.398,2820.88,820.695,850.729,617.197,0.768526182
2121.4197,1791.39,507.764,540.212,499.571,849.283,503.517,593.942,528.21,604.032,1065.2,518.852,532.008,814.08,2820.44,821.909,850.455,617.699,0.822827036
2122.4197,1794.51,507.559,540.421,499.197,849.613,503.766,593.436,528.058,603.526,1065.14,519.499,531.733,814.927,2822.84,821.711,851.974,618.634,1.009371021
2123.4197,1793.79,507.482,540.231,499.471,850.067,504.885,593.702,528.039,602.644,1063.15,520.456,530.715,815.645,2827.31,820.342,854.279,618.908,1.515591071
2124.4197,1792.92,507.996,540.138,499.986,850.053,505.438,594.528,528.068,602.57,1062.16,521.03,530.119,815.958,2831.08,819.43,854.966,618.719,-0.432225659
2125.4197,1794.18,509.112,540.415,500.429,849.463,504.754,595.618,528.065,603.44,1063.49,520.903,530.434,815.786,2832.77,819.74,853.334,618.795,1.741734705
2126.4197,1796.64,509.861,540.824,500.723,849.25,503.878,596.536,527.963,603.934,1065.64,520.407,530.978,815.471,2833.46,820.521,851.613,619.318,-1.167932596
2127.4197,1799.03,509.394,541.095,500.829,850.259,503.85,596.901,527.737,603.155,1067.1,519.871,531.12,815.358,2834.29,821.071,851.77,619.856,1.754325769
2128.4197,1800.67,508.327,541.163,500.74,851.83,504.333,596.786,527.586,602.171,1067.67,519.315,531.019,815.491,2835.45,821.605,853.154,620.06,1.580019269
2129.4197,1801.12,507.795,541.041,500.468,852.77,504.507,596.432,527.779,602.364,1067.52,518.689,531.049,815.789,2836.79,822.552,854.383,619.905,2.541763614
2130.4197,1800.5,508.023,540.761,500.156,852.767,504.266,596.044,528.34,603.386,1066.82,518.237,531.214,816.035,2837.54,823.382,854.882,619.444,1.247093131
2131.4197,1799.47,508.337,540.376,500.076,852.378,504.216,595.79,529.041,603.792,1065.72,518.441,531.224,815.875,2836.38,822.803,854.723,618.933,-0.290789304
2132.4197,1798.38,508.313,539.99,500.327,852.049,504.67,595.818,529.591,603.133,1064.63,519.348,531.019,815.181,2833.28,820.461,854.068,618.722,-0.376020094
2133.4197,1796.59,508.28,539.849,500.557,851.841,505.1,596.232,529.559,602.623,1064.37,520.092,531.023,814.425,2830.86,817.978,853.227,618.85,1.407252476
2134.4197,1793.55,508.6,540.148,500.409,851.727,504.968,597.054,528.622,603.248,1065.51,519.909,531.573,814.123,2831.43,816.88,852.503,618.935,1.031136014
2135.4197,1790.2,509.006,540.534,500.062,851.489,504.65,597.734,527.456,604.264,1066.75,519.266,532.147,814.41,2833.73,816.744,852.069,618.686,1.153074785
2136.4197,1788.18,508.957,540.42,499.929,850.836,504.913,597.489,527.164,604.51,1066.24,519.04,531.954,815.224,2835.24,816.485,852.044,618.221,-0.127158915
2137.4197,1788.41,508.491,539.803,500.163,849.937,505.644,596.42,527.906,604.043,1064.18,519.343,531.035,815.918,2834.66,816.042,852.465,617.74,0.102325708
2138.4197,1791,508.329,539.362,500.604,849.499,505.698,595.665,528.737,603.837,1062.78,519.568,530.219,815.156,2831.79,816.324,853.289,617.357,1.6657145
2139.4197,1795.39,508.884,539.579,501.076,849.926,504.501,596.022,528.918,604.271,1063.43,519.404,530.088,812.466,2827.1,817.634,854.218,617.136,1.546429914
2140.4197,1799.03,509.499,540.195,501.4,850.581,503.421,597.065,528.539,604.523,1065.25,519.331,530.552,810.177,2822.49,818.7,854.335,617.159,1.536249972
2141.4197,1799.35,509.413,540.816,501.412,850.704,503.961,598.141,527.865,603.886,1067.1,519.807,531.368,810.771,2819.81,818.226,852.906,617.55,-0.323726455
2142.4197,1796.94,508.817,541.134,501.137,850.267,505.414,598.697,527.314,603.059,1068.01,520.305,531.936,813.171,2818.94,816.39,851.133,618.317,0.507238453
